do you,3903
thank you,2521
i think,2223
i am,1967
i have,1885
but i,1690
in the,1689
are you,1522
you can,1440
i don't,1393
would you,1365
have a,1290
i can,1253
it is,1228
if you,1198
have you,1092
you are,1074
can you,1063
i know,1053
can i,1047
this is,1046
to be,1038
of the,1023
like to,1007
to the,986
and i,975
i will,950
of course,949
i want,943
on the,939
what do,925
i was,923
want to,919
let me,912
you know,905
we have,899
may i,887
did you,876
you have,868
how about,868
for you,838
i see,827
going to,769
how much,768
could you,764
have to,762
i'd like,759
help you,757
i would,744
i do,720
all right,717
for the,713
to get,702
at the,698
it was,698
for a,695
i need,687
i like,678
is it,655
to go,654
tell me,651
a lot,651
what are,647
we can,636
excuse me,631
and the,599
i just,596
you like,596
there are,593
to do,592
is that,577
i don,550
how do,535
go to,531
to have,528
here you,525
is there,523
i hope,522
you should,521
it's a,521
you think,511
they are,509
in a,499
i can't,497
there is,496
s a,490
what about,485
i'm sorry,479
i really,477
very much,470
need to,469
what is,467
see you,464
you want,464
have any,458
good morning,457
is the,456
so i,452
if i,449
what's the,439
i guess,436
we are,435
will be,433
a good,428
what kind,428
a little,427
by the,421
what can,417
no problem,407
how long,404
that is,402
with you,395
to see,394
all the,393
that you,391
is a,391
you need,386
you do,385
look at,385
but you,383
a few,379
i'm not,377
for me,374
with the,373
i had,370
but it,367
that sounds,367
you will,362
i'm afraid,362
will you,360
you to,345
lot of,345
to take,342
here is,341
i'm going,340
and you,339
to make,338
you mean,336
i thought,334
give me,331
i didn't,329
he is,329
we will,317
good idea,316
about it,315
for your,314
t you,314
s the,313
that i,311
be a,310
take a,309
how are,309
how can,307
come on,303
when i,302
it will,302
in your,295
how many,295
the same,294
get a,294
that's a,290
and then,287
thanks for,286
like a,285
this one,285
is this,284
when you,281
i love,278
let's go,277
to you,277
to work,277
i feel,274
to buy,273
my name,273
i got,271
why don't,266
about the,265
and a,259
in this,259
kind of,258
but the,255
the first,254
in my,253
i could,253
i've got,253
a new,250
with a,250
what a,249
from the,246
d like,245
but we,245
you look,244
how to,242
me to,241
as a,240
what did,240
we should,239
i help,239
why not,238
to me,238
that's right,238
don't worry,236
it's not,235
you must,234
that would,234
what time,233
anything else,232
one of,230
she is,229
i heard,229
what you,227
i'll take,227
right now,226
out of,226
the best,226
with me,225
you going,225
i've been,224
to a,224
we need,222
just a,218
i'll be,218
to pay,218
so much,217
do i,216
but i'm,216
so you,215
and we,215
to your,213
don't you,213
it seems,212
i should,212
you get,211
meet you,208
t know,207
know what,206
to know,206
i get,206
i haven't,206
you don't,205
ll be,204
you doing,204
where are,202
what would,202
you a,201
make a,198
and it,197
have the,197
t have,197
would be,197
it has,196
have your,195
a bit,195
a very,194
what i,192
able to,192
help me,192
to find,190
on a,190
why do,189
we do,188
could i,188
it looks,187
but it's,186
s not,185
that the,185
what's your,184
good afternoon,183
of my,182
as you,182
i'll have,181
you see,181
that will,181
of your,181
i mean,180
ve got,179
is not,179
the most,178
what happened,177
does it,177
m not,176
with my,176
like it,176
do that,175
ve been,175
to say,175
thanks a,174
i did,174
you're right,173
nice to,173
they have,173
the company,173
if we,173
not at,171
give you,171
interested in,170
not really,169
you could,168
like the,168
for my,168
a great,167
very good,167
to hear,167
i wish,167
can do,166
in that,166
isn't it,165
it's the,164
m sorry,164
it would,163
where is,163
t be,161
see the,160
you were,160
take it,158
think i,158
t think,158
i went,157
that was,157
shall we,157
welcome to,157
how did,157
take the,156
on your,156
maybe you,156
i'm sure,155
a big,155
looking for,154
tell you,154
we could,154
what does,153
very well,153
of a,153
do it,153
such a,153
he was,152
m going,152
know how,152
is very,151
all of,151
the right,150
it's very,150
the time,149
it for,149
have been,149
come in,149
i understand,149
me a,148
with your,148
i agree,148
too much,147
a long,147
make it,146
you go,145
i'm glad,145
where do,144
the next,144
that's the,143
over there,142
i didn,142
you say,142
there's a,142
get the,141
and what,140
the world,140
you just,139
to tell,139
our company,139
to help,139
have some,139
i suppose,138
that we,138
for this,138
that's great,138
time to,137
on my,137
is your,137
should i,137
think you,136
i saw,136
last night,136
i also,136
i hate,135
the price,135
you can't,135
are there,134
of it,134
at least,134
it's just,133
be able,133
as well,133
had a,133
try to,133
because i,133
most of,132
to my,132
i wonder,131
i believe,131
some of,131
to come,131
to give,131
i'm looking,131
at all,131
like that,130
know that,130
to eat,130
here it,128
then i,128
he has,128
what was,128
it to,128
but if,128
of this,127
and my,127
of our,127
the other,127
to check,127
that's all,126
the new,126
so many,126
which is,126
to meet,126
it doesn't,125
got a,125
should be,124
the way,124
s very,124
the problem,123
over the,123
an hour,123
care of,123
but there,122
so what,122
about your,122
that's fine,122
come to,121
the job,121
i never,121
think it,121
would like,121
i'm a,121
glad to,120
it sounds,120
back to,120
ll have,120
make sure,119
a look,119
what's wrong,119
no idea,119
where did,119
you're welcome,119
can we,119
i must,118
of you,118
in our,118
the only,117
wait a,116
t want,116
this morning,116
and they,116
my wife,115
then you,115
you would,115
your name,115
i bought,115
but they,115
why are,114
if it,114
with it,114
i go,114
has been,114
the city,114
the last,114
to use,114
can be,114
it in,114
think so,114
m afraid,113
what else,113
s your,112
and your,112
i'm just,112
long time,111
into the,111
i always,111
a job,111
s right,111
trying to,110
like you,110
but what,110
to talk,110
as i,109
but he,109
they will,109
will it,109
me the,109
as soon,109
you really,109
i prefer,108
about that,108
has a,108
find a,108
to leave,108
such as,108
like this,107
get to,107
how was,107
a while,107
good for,107
show me,107
how is,107
i'm so,107
a problem,106
here are,106
you don,106
sorry to,106
maybe i,105
s go,105
need a,105
it must,105
more than,105
can get,105
how would,105
buy a,104
try it,104
were you,104
talk to,104
so we,104
next week,104
many people,104
to keep,104
to change,103
what should,103
a week,103
way to,103
at a,103
on it,102
i'll go,102
and he,102
you may,102
be the,102
but my,102
this afternoon,102
good luck,102
s all,101
when will,101
take your,101
for example,101
last week,101
the one,101
the office,101
me too,100
t worry,100
and have,100
and how,100
each other,100
have it,99
to ask,99
i usually,99
are the,99
come back,99
that's good,99
why don,99
next time,98
are they,98
m sure,98
this way,98
that's true,98
speak to,97
we don't,97
anything i,97
but not,97
of them,97
t like,97
according to,96
so that,96
get it,96
i'm very,96
the weather,96
that's not,96
you been,96
s my,96
see your,96
when do,96
the money,96
i hear,95
take care,95
it's my,95
it's really,95
as the,95
sounds good,95
the bus,95
and there,94
does the,94
at home,94
supposed to,94
you might,94
to look,94
s just,94
to start,94
don't have,94
forward to,93
end of,93
your help,93
use the,93
an appointment,93
have an,93
of that,93
that's what,92
lots of,92
a couple,92
you for,91
to our,91
the day,91
in fact,91
that's too,91
used to,91
wanted to,90
not a,90
not sure,90
for us,90
when did,90
for it,90
but she,89
be very,89
now i,89
it's too,89
good evening,89
to try,89
you in,89
not yet,89
please fill,89
you the,89
know the,89
i won't,89
and it's,89
a nice,88
please tell,88
if the,88
think that,88
you said,88
know where,87
they were,87
on this,87
new york,87
think we,87
to play,87
my parents,87
the car,87
i've never,87
a month,87
is to,86
i remember,86
as long,86
then we,86
for our,86
them to,86
maybe we,86
re right,86
it's so,86
every day,85
how may,85
you'd better,85
ready to,85
let's see,85
i found,85
i appreciate,85
must be,85
i'll get,85
it on,85
quite a,85
it can,85
i only,84
i haven,84
you feel,84
there was,84
to put,84
it should,84
so it,84
why did,84
you got,84
around the,84
i'm really,83
say that,83
pay for,83
this time,83
be there,83
i couldn't,83
got it,83
when we,83
after the,83
these days,82
and get,82
see it,82
out the,82
the end,82
to drink,81
the internet,81
here for,81
i'll try,81
which one,81
ll take,80
is so,80
this weekend,80
your company,80
i forgot,80
you with,80
be great,80
we were,80
or a,80
plenty of,80
but this,79
don't be,79
credit card,79
that it,79
up to,79
to call,79
up the,79
a bad,79
with that,79
t it,79
i bet,78
don't know,78
to stay,78
your room,78
if they,78
re welcome,78
for that,78
and i'll,78
want a,78
what's up,78
to learn,77
do the,77
first of,77
is she,77
s going,77
and so,77
mind if,77
a small,77
the house,77
a moment,77
my first,77
i'd love,77
any other,77
who is,77
we go,77
it depends,76
you've got,76
is on,76
you'll have,76
we had,76
i wouldn't,76
be fine,76
my friend,76
for two,75
i'm in,75
i find,75
having a,75
shall i,75
my mother,75
how old,75
is in,74
that's why,74
do we,74
but that,74
is really,74
is too,74
s great,74
the morning,74
hard to,74
go ahead,73
this year,73
that one,73
it up,73
the food,73
a friend,73
something to,73
ask you,73
my pleasure,73
t mind,73
you had,73
s fine,73
about a,73
are not,73
he said,73
what's that,73
i'll give,73
you'll be,73
as possible,73
if there,72
and i'm,72
she was,72
what if,72
not to,72
better than,72
to speak,72
that way,72
i used,71
go with,71
not bad,71
you and,71
i'll see,71
soon as,71
think about,71
m a,71
with him,71
want me,71
here's your,71
get some,71
when the,71
we get,70
believe it,70
wondering if,70
sounds like,70
when can,70
think of,70
couple of,70
we would,70
do they,70
s so,70
ll get,70
in china,70
that's very,70
i wanted,70
up with,70
the room,70
re going,69
i took,69
a day,69
that'll be,69
is going,69
we also,69
have anything,69
sure you,69
very nice,69
you didn't,69
know if,69
think it's,69
no one,69
for an,69
here's the,69
with us,68
a minute,68
good at,68
us to,68
don't think,68
my husband,68
told me,68
people who,68
i still,68
you come,68
or not,68
what the,68
thinking about,68
so how,67
show you,67
the moment,67
i made,67
s really,67
will that,67
listen to,67
and that,67
to it,67
is he,67
it very,67
we'd like,67
it really,67
during the,67
you up,66
sure that,66
come here,66
in it,66
the air,66
time for,66
and see,66
get there,66
after all,66
tomorrow morning,66
right away,66
out this,66
think the,65
a really,65
wait for,65
to pick,65
hear that,65
my car,65
up in,65
can make,65
it does,65
thinking of,65
it's about,65
people are,65
some people,65
the whole,64
for some,64
my best,64
check out,64
to send,64
it says,64
make the,64
he will,64
of people,64
it's hard,64
s too,64
and this,64
pretty good,64
how could,64
a reservation,64
can go,63
it's on,63
a single,63
i might,63
all day,63
to live,63
what will,63
that they,63
before you,63
go out,63
some money,63
i promise,63
with this,63
see that,63
be all,63
are very,63
we just,63
it out,62
go and,62
of things,62
the doctor,62
let you,62
she has,62
phone number,62
but now,62
hold on,62
i work,62
why is,62
the second,62
looks like,62
my friends,62
s no,62
when is,62
up a,62
what to,61
at your,61
to bring,61
next to,61
do is,61
are a,61
i won,61
my boss,61
it a,61
am i,61
the computer,61
a seat,61
so the,61
t believe,61
the main,61
a large,61
my own,61
are going,61
it might,61
m so,61
you did,60
keep the,60
d better,60
we can't,60
should have,60
but how,60
my god,60
see if,60
your new,60
something about,60
at this,60
your first,60
my room,60
and now,59
will take,59
me that,59
no way,59
before i,59
do something,59
because it,59
to visit,59
my favorite,59
call you,59
ready for,59
take you,59
through the,59
don't want,59
the movie,59
it's nice,59
much better,59
of time,59
for dinner,59
have no,58
can help,58
when he,58
wrong with,58
these are,58
my father,58
was a,58
a car,58
happy to,58
to order,58
the meeting,58
where i,58
a room,58
just like,58
here we,58
then what,58
but i've,58
they can,58
where can,58
the kitchen,57
my family,57
because of,57
you seem,57
see a,57
ask for,57
are in,57
all over,57
i've heard,57
this evening,57
waiting for,57
get you,57
that means,57
everything is,57
there will,57
not too,57
decided to,57
pick up,57
all you,57
aren't you,57
the police,57
come and,57
that are,57
come with,57
didn't you,57
out for,56
a year,56
and some,56
i'll call,56
after that,56
the phone,56
that he,56
looking forward,56
from my,56
ll see,56
the interview,56
i'll just,56
does this,56
i'll do,56
let's get,56
it could,56
we haven't,56
you take,56
s why,56
about this,55
of money,55
be in,55
i enjoy,55
put it,55
you're going,55
seem to,55
and if,55
the train,55
have my,55
i told,55
it all,55
you at,55
most important,55
for one,55
get off,55
i said,54
how often,54
the apartment,54
is an,54
two years,54
off the,54
are we,54
please wait,54
they do,54
while i,54
but don't,54
number is,54
there in,54
here to,54
some time,54
for all,54
